Wall time,Step,Value
1636027579.5529597,11736,100.0
1636027579.6834679,11756,100.0
1636027580.0097518,11806,100.0
1636027580.9294853,11946,100.0
1636027581.3230927,12006,100.0
1636027581.913693,12096,100.0
1636027583.7229087,12254,100.0
1636027583.9836073,12294,100.0
1636027584.114791,12314,99.84375
1636027584.970916,12444,99.84375
1636027585.7610943,12564,100.0
1636027586.550751,12684,100.0
1636027587.2090418,12784,100.0
1636027587.6034436,12844,100.0
1636027588.7243407,13014,99.84375
1636027589.119436,13074,100.0
1636027589.18526,13084,100.0
1636029379.0173228,100,44.21875
1636029379.415805,160,82.03125
1636029379.7479298,210,87.65625
1636029381.2781663,440,92.65625
1636029381.7449698,510,95.0
1636029382.0786803,560,93.75
1636029382.9401886,690,95.0
1636029383.4060016,760,94.375
1636029384.4015121,910,95.625
1636029386.0497582,1038,96.5625
1636029386.2494097,1068,97.96875
1636029387.1766574,1208,97.34375
1636029387.2425787,1218,97.5
1636029387.374449,1238,96.40625
1636029389.499559,1558,95.9375
1636029389.565885,1568,97.5
1636029389.632753,1578,96.875
1636029390.098087,1648,98.125
1636029390.8247004,1758,97.1875
1636029392.6683526,1916,98.125
1636029393.0011373,1966,98.90625
1636029395.8527222,2396,99.0625
1636029396.4517512,2486,97.8125
1636029397.056804,2576,98.59375
1636029397.453858,2636,98.90625
1636029397.718505,2676,98.59375
1636029399.6874523,2854,99.0625
1636029399.8196158,2874,99.21875
1636029399.8855896,2884,98.90625
1636029402.9956348,3354,98.59375
1636029403.5266652,3434,99.375
1636029405.0560741,3664,99.21875
1636029406.5107536,3762,99.84375
1636029406.7790723,3802,99.53125
1636029407.045258,3842,99.84375
1636029407.112263,3852,99.6875
1636029407.8425336,3962,99.6875
1636029408.0403376,3992,99.6875
1636029408.5709221,4072,99.375
1636029408.7689738,4102,99.6875
1636029410.3894556,4342,99.84375
1636029410.6533647,4382,99.53125
1636029410.7858224,4402,99.84375
1636029412.6402621,4682,99.84375
1636029415.0179904,4920,99.53125
1636029416.0122368,5070,100.0
1636029416.5407104,5150,99.53125
1636029416.8714955,5200,99.84375
1636029417.2020104,5250,99.53125
1636029417.4670177,5290,99.375
1636029417.5989022,5310,100.0
1636029418.6592681,5470,99.84375
1636029420.743238,5658,100.0
1636029420.8096926,5668,100.0
1636029421.272869,5738,100.0
1636029421.4725199,5768,99.84375
1636029423.0639243,6008,99.84375
